DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2021-01-01,8,5,25,8,8,6,2.1,85,9.75,1007,90.625,8,6,4,296,122,122,0,2,3.4,météo très défavorable
2021-01-02,5,3,21,3,3,2,8,95,7.5,1009,97.75,5,3,-2,266,338,302,0.9,2,3.4,météo très défavorable
2021-01-03,7,4,24,4,6,6,0,62,10,1012,64.25,7,0,-1,116,122,122,0,3,3.4,météo très défavorable
2021-01-04,4,3,15,4,4,3,0.1,79,9.875,1012,61.625,4,2,1,116,116,116,0,1,8.7,météo très défavorable
2021-01-05,6,3,12,3,5,5,0.6,90,8,1014,74.5,6,2,0,332,326,116,0.5,1,5.2,météo très défavorable
2021-01-06,8,2,10,2,5,8,0,68,10,1018,5.25,8,0,-1,116,116,113,0,2,8.7,météo très défavorable
2021-01-07,5,2,15,2,4,4,0,62,10,1017,52.625,5,0,-1,116,119,119,0,2,6.9,météo très défavorable
2021-01-08,6,2,15,2,4,4,0,61,10,1016,48.875,6,0,-2,116,116,122,0,1,5.2,météo très défavorable
2021-01-09,6,3,30,3,5,5,0,68,10,1015,73.375,6,0,-2,122,116,119,0,1,5.2,météo très défavorable
2021-01-10,5,2,26,2,4,3,0,64,10,1017,51,5,0,-3,119,116,116,0,2,6.9,météo très défavorable
2021-01-11,8,1,12,1,4,6,0,67,10,1023,22,8,0,-2,116,116,113,0,1,8.7,météo très défavorable
2021-01-12,10,3,32,3,8,8,0,65,10,1024,12.25,10,3,-1,116,116,116,0,3,8.7,météo très défavorable
2021-01-13,13,11,38,11,13,12,0,71,10,1024,14,13,7,7,116,116,116,0,4,8.7,météo correcte
2021-01-14,12,8,36,8,12,11,0,67,10,1025,3,12,5,5,113,113,116,0,4,8.7,météo défavorable
2021-01-15,11,9,36,9,11,9,0,69,10,1022,27.25,11,5,5,116,116,116,0,3,8.7,météo défavorable
2021-01-16,8,3,15,3,6,6,0,59,10,1025,25.125,8,0,-0,113,119,116,0,3,8.7,météo très défavorable
2021-01-17,12,8,21,8,11,10,0,78,10,1025,33.125,12,4,4,116,116,113,0,3,8.7,météo défavorable
2021-01-18,10,5,17,5,8,8,0,64,10,1027,11.5,10,1,2,116,116,116,0,3,8.7,météo très défavorable
2021-01-19,8,4,10,4,7,8,0,73,10,1027,25.625,8,3,1,116,116,116,0,3,8.7,météo très défavorable
2021-01-20,13,9,37,9,12,13,1.4,87,10,1020,77.625,13,10,7,122,353,353,0,4,3.5,météo défavorable
2021-01-21,13,11,16,11,13,11,0.4,88,9.875,1010,45.125,13,11,10,176,116,176,0,3,7,météo correcte
2021-01-22,12,9,20,9,11,10,0.7,89,9.375,1006,66.875,12,9,8,116,119,263,0,3,3.5,météo défavorable
2021-01-23,10,7,50,7,10,8,0.2,77,9,1005,47.75,10,4,4,116,266,116,0,2,5.2,météo défavorable
2021-01-24,10,6,30,6,8,9,6.4,80,9.25,1007,50.5,10,4,2,302,116,116,0,2,8.7,météo défavorable
2021-01-25,9,7,24,8,8,7,0,71,10,1016,38.125,9,6,4,116,119,116,0,2,7,météo défavorable
2021-01-26,9,4,19,4,7,8,0,58,10,1022,33.875,9,0,-1,116,116,122,0,3,5.3,météo très défavorable
2021-01-27,12,5,17,5,9,12,0,61,10,1022,44,12,7,3,116,119,116,0,3,7,météo très défavorable
2021-01-28,16,12,22,12,15,14,0,82,10,1020,38,16,10,10,116,116,116,0,3,8.7,météo correcte
2021-01-29,15,12,28,12,15,13,0,84,10,1017,38,15,10,10,119,122,116,0,4,7,météo correcte
2021-01-30,12,10,26,10,10,11,4.2,81,9.5,1015,63.375,12,8,8,116,122,296,0,4,3.6,météo défavorable
2021-01-31,14,10,25,10,13,13,0,77,10,1003,39.5,14,7,7,116,116,116,0,4,8.7,météo correcte
